Month,Influenza A - All types of surveillance
2009-01-01,16.0
2009-02-01,19.0
2009-03-01,46.0
2009-04-01,223.0
2009-05-01,423.0
2009-06-01,788.0
2009-07-01,2383.0
2009-08-01,2043.0
2009-09-01,200.0
2009-10-01,3.0
2009-11-01,3.0
2009-12-01,0.0
2010-01-01,442.0
2010-02-01,125.0
2010-03-01,104.0
2010-04-01,384.0
2010-05-01,933.0
2010-06-01,327.0
2010-07-01,166.0
2010-08-01,82.0
2010-09-01,49.0
2010-10-01,49.0
2010-11-01,37.0
2010-12-01,52.0
2011-01-01,273.0
2011-02-01,130.0
2011-03-01,43.0
2011-04-01,15.0
2011-05-01,26.0
2011-06-01,101.0
2011-07-01,132.0
2011-08-01,52.0
2011-09-01,18.0
2011-10-01,52.0
2011-11-01,29.0
2011-12-01,11.0
2012-01-01,38.0
2012-02-01,25.0
2012-03-01,23.0
2012-04-01,29.0
2012-05-01,55.0
2012-06-01,66.0
2012-07-01,50.0
2012-08-01,31.0
2012-09-01,28.0
2012-10-01,40.0
2012-11-01,51.0
2012-12-01,94.0
2013-01-01,82.0
2013-02-01,22.0
2013-03-01,18.0
2013-04-01,31.0
2013-05-01,53.0
2013-06-01,51.0
2013-07-01,15.0
2013-08-01,13.0
2013-09-01,36.0
2013-10-01,76.0
2013-11-01,86.0
2013-12-01,103.0
2014-01-01,59.0
2014-02-01,33.0
2014-03-01,17.0
2014-04-01,12.0
2014-05-01,30.0
2014-06-01,141.0
2014-07-01,170.0
2014-08-01,75.0
2014-09-01,28.0
2014-10-01,9.0
2014-11-01,8.0
2014-12-01,13.0
2015-01-01,36.0
2015-02-01,31.0
2015-03-01,27.0
2015-04-01,44.0
2015-05-01,101.0
2015-06-01,257.0
2015-07-01,71.0
2015-08-01,15.0
2015-09-01,10.0
2015-10-01,7.0
2015-11-01,19.0
2015-12-01,20.0
2016-01-01,72.0
2016-02-01,78.0
2016-03-01,33.0
2016-04-01,15.0
2016-05-01,29.0
2016-06-01,114.0
2016-07-01,216.0
2016-08-01,146.0
2016-09-01,23.0
2016-10-01,17.0
2016-11-01,14.0
2016-12-01,11.0
2017-01-01,44.0
2017-02-01,44.0
2017-03-01,42.0
2017-04-01,54.0
2017-05-01,189.0
2017-06-01,115.0
2017-07-01,70.0
2017-08-01,23.0
2017-09-01,13.0
2017-10-01,40.0
2017-11-01,36.0
2017-12-01,22.0
2018-01-01,73.0
2018-02-01,49.0
2018-03-01,35.0
2018-04-01,50.0
2018-05-01,55.0
2018-06-01,47.0
2018-07-01,64.0
2018-08-01,14.0
2018-09-01,26.0
2018-10-01,48.0
2018-11-01,135.0
2018-12-01,142.0
2019-01-01,77.0
2019-02-01,61.0
2019-03-01,23.0
2019-04-01,19.0
2019-05-01,16.0
2019-06-01,37.0
2019-07-01,85.0
2019-08-01,33.0
2019-09-01,46.0
2019-10-01,51.0
2019-11-01,99.0
2019-12-01,199.0
2020-01-01,292.0
2020-02-01,34.0
2020-03-01,8.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,10.0
2022-03-01,3.0
2022-04-01,1.0
2022-05-01,4.0
2022-06-01,33.0
2022-07-01,72.0
2022-08-01,175.0
2022-09-01,232.0
2022-10-01,216.0
2022-11-01,48.0
2022-12-01,55.0
2023-01-01,56.0
2023-02-01,177.0
2023-03-01,320.0
2023-04-01,257.0
2023-05-01,223.0
2023-06-01,157.0
2023-07-01,330.0
2023-08-01,268.0
2023-09-01,262.0
2023-10-01,169.0
2023-11-01,117.0
2023-12-01,152.0
2024-01-01,408.0
2024-02-01,171.0
2024-03-01,104.0
