Day,Influenza A - All types of surveillance
2009-01-05,7.0
2009-01-12,0.0
2009-01-19,0.0
2009-01-26,7.0
2009-02-02,3.0
2009-02-09,2.0
2009-02-16,4.0
2009-02-23,7.0
2009-03-02,10.0
2009-03-09,11.0
2009-03-16,15.0
2009-03-23,21.0
2009-03-30,23.0
2009-04-06,21.0
2009-04-13,32.0
2009-04-20,21.0
2009-04-27,62.0
2009-05-04,63.0
2009-05-11,75.0
2009-05-18,74.0
2009-05-25,67.0
2009-06-01,48.0
2009-06-08,42.0
2009-06-15,33.0
2009-06-22,23.0
2009-06-29,30.0
2009-07-06,14.0
2009-07-13,13.0
2009-07-20,7.0
2009-07-27,15.0
2009-08-03,21.0
2009-08-10,32.0
2009-08-17,29.0
2009-08-24,11.0
2009-08-31,39.0
2009-09-07,76.0
2009-09-14,82.0
2009-09-21,54.0
2009-09-28,71.0
2009-10-05,38.0
2009-10-12,43.0
2009-10-19,42.0
2009-10-26,34.0
2009-11-02,27.0
2009-11-09,28.0
2009-11-16,24.0
2009-11-23,15.0
2009-11-30,12.0
2009-12-07,10.0
2009-12-14,4.0
2009-12-21,6.0
2009-12-28,0.0
2010-01-04,3.0
2010-01-11,7.0
2010-01-18,3.0
2010-01-25,5.0
2010-02-01,4.0
2010-02-08,2.0
2010-02-15,0.0
2010-02-22,7.0
2010-03-01,3.0
2010-03-08,2.0
2010-03-15,2.0
2010-03-22,0.0
2010-03-29,0.0
2010-04-05,0.0
2010-04-12,1.0
2010-04-19,0.0
2010-04-26,0.0
2010-05-03,0.0
2010-05-10,0.0
2010-05-17,0.0
2010-05-24,0.0
2010-05-31,0.0
2010-06-07,2.0
2010-06-14,3.0
2010-06-21,5.0
2010-06-28,3.0
2010-07-05,8.0
2010-07-12,14.0
2010-07-19,14.0
2010-07-26,26.0
2010-08-02,30.0
2010-08-09,52.0
2010-08-16,53.0
2010-08-23,53.0
2010-08-30,31.0
2010-09-06,25.0
2010-09-13,22.0
2010-09-20,19.0
2010-09-27,12.0
2010-10-04,5.0
2010-10-11,4.0
2010-10-18,5.0
2010-10-25,4.0
2010-11-01,1.0
2010-11-08,1.0
2010-11-15,4.0
2010-11-22,2.0
2010-11-29,5.0
2010-12-06,5.0
2010-12-13,5.0
2010-12-20,10.0
2010-12-27,7.0
2011-01-03,6.0
2011-01-10,25.0
2011-01-17,23.0
2011-01-24,29.0
2011-01-31,0.0
2011-02-07,5.0
2011-02-14,30.0
