name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2009-01-01,31.5,24.9,27.2,37.5,24.9,29.7,24.3,84.8,29.444,100,12.5,rain,,,,12.4,343.4,1007.9,81.7,10.6,,,,,2009-01-01T07:06:41,2009-01-01T19:09:32,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-02,29.8,23.9,26.9,35.4,23.9,29,23.8,83.6,0.191,100,8.33,rain,,,,16.5,354.6,1009,83.7,10.7,,,,,2009-01-02T07:07:08,2009-01-02T19:10:01,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-03,29.7,24.8,26.7,35.2,24.8,28.3,23.6,83.5,0.849,100,4.17,rain,,,,17.8,316.4,1009.5,85.7,11,,,,,2009-01-03T07:07:36,2009-01-03T19:10:29,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-04,29.4,24.8,26.5,34.6,24.8,28.2,23.8,85.1,0.772,100,8.33,rain,,,,17.9,353.3,1009.8,82,10.9,,,,,2009-01-04T07:08:03,2009-01-04T19:10:57,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-05,30.8,24.7,27.1,36.3,24.7,29.4,23.7,82.4,0.314,100,8.33,rain,,,,21.5,2.5,1009.1,79.1,10.7,,,,,2009-01-05T07:08:29,2009-01-05T19:11:24,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-06,32.3,24.9,27.9,37.8,24.9,30.3,23.3,76.8,2.206,100,4.17,rain,,,,22,7.7,1009.7,87.9,10.9,,,,,2009-01-06T07:08:55,2009-01-06T19:11:52,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-07,30.8,24.8,27.6,36,24.8,30,23.5,79.5,0,0,0,,,,,23.4,2,1010.5,85.7,10.8,,,,,2009-01-07T07:09:20,2009-01-07T19:12:18,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-08,30.3,24.9,27.3,34.6,24.9,29.2,22.9,77.3,0,0,0,,,,,29.8,7.2,1011.7,87.9,10.9,,,,,2009-01-08T07:09:45,2009-01-08T19:12:44,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-09,29.4,24.9,27,33.8,24.9,28.5,22.9,78.7,0,0,0,,,,,28.5,6.8,1011.9,87.7,10.6,,,,,2009-01-09T07:10:10,2009-01-09T19:13:10,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-10,30.1,24.8,27,33.4,24.8,28.4,22.4,76.4,0.051,100,4.17,rain,,,,27.1,10.9,1011.6,88.7,10.1,,,,,2009-01-10T07:10:34,2009-01-10T19:13:35,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-11,29.8,23.9,26.3,33.6,23.9,27.6,22.7,81.1,0,0,0,,,,,19.9,7.3,1011.7,86.5,9,,,,,2009-01-11T07:10:57,2009-01-11T19:14:00,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-12,30,24.8,26.7,34.1,24.8,28.2,22.7,79.4,0,0,0,,,,,28.5,16.7,1013.1,87.8,9.6,,,,,2009-01-12T07:11:19,2009-01-12T19:14:24,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-13,28.9,25.7,26.7,33.4,25.7,28.1,23.1,81,0.895,100,8.33,rain,,,,33.7,11.3,1013.8,86,10,,,,,2009-01-13T07:11:41,2009-01-13T19:14:48,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-14,30.3,25,27.2,33,25,28.5,21.9,73.3,0,0,0,,,,,34.4,17.6,1013.6,88.6,11,,,,,2009-01-14T07:12:03,2009-01-14T19:15:11,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-15,30.5,24.7,26.6,34.2,24.7,27.9,22.2,77.4,0,0,0,,,,,32.9,11.4,1013.6,88.5,10.7,,,,,2009-01-15T07:12:23,2009-01-15T19:15:33,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-16,29.6,23.7,26.2,33.6,23.7,27.4,22,77.8,0,0,0,,,,,31.5,11.5,1013.4,85.3,10.5,,,,,2009-01-16T07:12:43,2009-01-16T19:15:55,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-17,30.5,23.8,26.8,34.7,23.8,28.1,21.8,74.7,0,0,0,,,,,30.7,12.6,1012.6,86.5,10.9,,,,,2009-01-17T07:13:03,2009-01-17T19:16:16,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
