name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
VietNam,2011-01-01,19,16,16.9,19,16,16.9,13.6,81.1,0.3,100,4.17,rain,,,,16.6,68.9,1014.8,79,3.7,103.9,8.9,4,,2011-01-01T06:33:36,2011-01-01T17:26:13,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,VVNB"
VietNam,2011-01-02,20,16,18,20,16,18,16.3,90.2,1.1,100,8.33,rain,,,,18.4,75.7,1015,91.3,3.3,139.1,12.1,6,,2011-01-02T06:33:55,2011-01-02T17:26:50,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,VVNB"
VietNam,2011-01-03,18,11,14.2,18,11,14.2,11.3,83.1,0.1,100,4.17,rain,,,,25.9,46.9,1017.6,91.9,5.5,110.3,9.5,4,,2011-01-03T06:34:13,2011-01-03T17:27:28,0.96,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"48820099999,48823099999,VVNB"
VietNam,2011-01-04,13,10.9,11.8,13,10.9,11.8,9.2,84.5,1,100,4.17,rain,,,,18.4,34.8,1019.5,93.5,9.6,146.9,12.7,5,,2011-01-04T06:34:30,2011-01-04T17:28:06,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"48820099999,48823099999,VVNB"
VietNam,2011-01-05,13,10,11.6,13,10,11.6,10.7,94.7,0.1,100,4.17,rain,,,,13,35,1017.7,95.7,4.2,133.4,11.5,5,,2011-01-05T06:34:46,2011-01-05T17:28:45,0.03,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"48820099999,48823099999,VVNB"
VietNam,2011-01-06,16,11.7,13.5,16,11.7,13.5,8.7,74.4,0.5,100,4.17,rain,,,,20.5,24,1022.4,87.1,11,146.8,12.6,6,,2011-01-06T06:35:01,2011-01-06T17:29:24,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,VVNB,remote"
VietNam,2011-01-07,13,8.5,11.7,13,5.7,11.6,5.5,65.9,0,0,0,,,,,20.5,30.3,1023.9,80.8,11.8,142.8,12.4,6,,2011-01-07T06:35:14,2011-01-07T17:30:04,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,remote,VVNB"
VietNam,2011-01-08,13.5,10,11.8,13.5,10,11.8,7.2,73.8,0,0,0,,,,,13,33.6,1020.4,90.8,5.8,160,13.8,7,,2011-01-08T06:35:26,2011-01-08T17:30:43,0.12,Overcast,Cloudy skies throughout the day.,cloudy,"48820099999,48823099999,VVNB"
VietNam,2011-01-09,14,11,12.4,14,11,12.4,8,74.8,0,0,0,,,,,18.4,2.6,1021.8,64.9,8,110.9,9.6,4,,2011-01-09T06:35:37,2011-01-09T17:31:24,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,VVNB"
VietNam,2011-01-10,13,11,11.9,13,11,11.9,4.9,62.2,0,0,0,,,,,20.5,26.8,1020.6,83.6,6.9,160.1,13.8,6,,2011-01-10T06:35:47,2011-01-10T17:32:04,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,VVNB"
VietNam,2011-01-11,11,8,9.5,11,5.5,8.6,5.3,75.6,2,100,4.17,rain,,,,18.4,5.9,1021.1,74.6,8.4,68.6,6,3,,2011-01-11T06:35:55,2011-01-11T17:32:44,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,VVNB"
VietNam,2011-01-12,14,9,11,14,6.7,10.4,3.5,60.9,0,0,0,,,,,20.5,11.3,1019.4,42.4,9.3,191.4,16.4,7,,2011-01-12T06:36:03,2011-01-12T17:33:25,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,VVNB"
VietNam,2011-01-13,14,11,12.3,14,11,12.3,6.6,68.7,0,0,0,,,,,9.4,35.7,1017.9,72.9,6.3,164.4,14.3,6,,2011-01-13T06:36:08,2011-01-13T17:34:05,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,VVNB"
VietNam,2011-01-14,14,12,12.9,14,12,12.9,10.1,82.8,0,0,0,,,,,14.8,321.5,1017.7,91,5.6,120.4,10.4,5,,2011-01-14T06:36:13,2011-01-14T17:34:46,0.32,Overcast,Cloudy skies throughout the day.,cloudy,"48820099999,48823099999,VVNB"
VietNam,2011-01-15,18,11,14.2,18,11,14.2,7.4,65.6,0,0,0,,,,,24.1,353.5,1023.2,53.8,10.1,141.4,12.2,6,,2011-01-15T06:36:16,2011-01-15T17:35:27,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,VVNB"
