Day,case,temp,tempmax,dew,windspeed
2009-01-12,0.0,16.1,20.3,8.41,16.259999999999998
2009-01-19,0.0,15.53,20.9,6.93,14.22
2009-01-26,7.0,16.4,19.79,12.1,19.78
2009-02-02,3.0,14.8,18.22,10.16,15.19
2009-02-09,2.0,19.630000000000003,23.37,15.610000000000005,13.9
2009-02-16,4.0,22.7,27.660000000000004,18.1,17.65
2009-02-23,7.0,23.520000000000003,27.160000000000004,20.06,22.96
2009-03-02,10.0,21.66,23.68,19.48,21.1
2009-03-09,11.0,17.729999999999997,19.9,13.8,18.16
2009-03-16,15.0,19.2,22.35,14.220000000000002,15.94
2009-03-23,21.0,22.55,26.01,18.27,18.160000000000004
2009-03-30,23.0,24.5,27.77,20.68,20.89
2009-04-06,21.0,21.630000000000003,24.54,17.71,19.96
2009-04-13,8.0,23.48,26.97,19.62,20.5
2009-04-20,21.0,26.660000000000004,30.579999999999995,22.75,20.32
2009-04-27,8.0,27.130000000000003,31.1,21.5,22.42
2009-05-04,8.0,24.96,28.19,19.87,18.160000000000004
2009-05-11,8.0,25.77,28.76,21.71,21.71
2009-05-18,8.0,26.99,30.380000000000003,23.89,22.6
2009-05-25,8.0,27.96,31.73,23.55,18.7
2009-06-01,8.0,28.360000000000003,32.29,23.0,18.01
2009-06-08,8.0,28.68,33.21,22.91,17.98
2009-06-15,8.0,30.71,35.39,24.13,18.67
2009-06-22,23.0,30.6,34.86,24.9,16.869999999999997
2009-06-29,8.0,30.71,34.49,24.92,17.619999999999997
2009-07-06,14.0,29.070000000000004,32.510000000000005,24.08,18.34
2009-07-13,13.0,28.6,32.0,24.38,24.05
2009-07-20,7.0,29.22,33.05,24.860000000000003,22.58
2009-07-27,15.0,30.04,34.11,25.0,16.84
2009-08-03,21.0,29.93,34.03,25.360000000000003,15.010000000000002
2009-08-10,8.0,30.880000000000003,34.9,25.15,18.74
2009-08-17,8.0,29.65,34.010000000000005,24.44,19.81
2009-08-24,11.0,29.48,33.8,24.78,20.62
2009-08-31,8.0,29.75,33.84,24.52,17.080000000000002
2009-09-07,8.0,29.75,34.400000000000006,24.1,17.23
2009-09-14,8.0,30.11,34.11,24.17,15.37
2009-09-21,8.0,28.94,32.620000000000005,24.99,17.95
2009-09-28,8.0,28.53,32.88,23.28,21.86
2009-10-05,8.0,28.07,31.97000000000001,22.26,16.26
2009-10-12,8.0,28.28,32.690000000000005,21.98,14.01
2009-10-19,8.0,26.14,29.43,21.880000000000003,16.119999999999997
2009-10-26,8.0,26.48,30.22,21.96,14.079999999999998
2009-11-02,27.0,26.160000000000004,30.29,21.36,17.92
2009-11-09,28.0,24.56,29.620000000000005,17.35,17.64
2009-11-16,24.0,24.1,27.87,18.98,21.7
2009-11-23,15.0,17.16,20.270000000000003,8.09,18.520000000000003
2009-11-30,12.0,20.59,24.99,14.95,15.220000000000002
2009-12-07,10.0,21.11,24.880000000000003,16.05,16.12
2009-12-14,4.0,22.51,26.770000000000003,18.45,20.2
2009-12-21,6.0,18.95,21.43,12.919999999999998,19.48
2009-12-28,0.0,18.15,21.500000000000004,12.5,16.52
2010-01-04,3.0,18.39,20.54,15.53,17.6
2010-01-11,7.0,18.34,20.96,15.27,18.52
2010-01-18,3.0,16.520000000000003,19.37,10.84,17.8
2010-01-25,5.0,17.76,20.64,14.95,16.15
2010-02-01,4.0,19.06,21.48,16.669999999999998,17.29
2010-02-08,2.0,24.32,27.77,21.59,23.56
2010-02-15,0.0,21.79,25.73,18.31,24.47
2010-02-22,7.0,14.52,16.44,10.42,17.8
2010-03-01,3.0,21.52,26.130000000000003,18.160000000000004,16.15
2010-03-08,2.0,24.07,28.58,21.03,24.1
2010-03-15,2.0,19.27,21.67,14.64,18.7
2010-03-22,0.0,21.79,24.64,19.87,18.12
2010-03-29,0.0,22.31,25.47,17.490000000000002,23.87
2010-04-05,0.0,21.880000000000003,24.66,19.26,19.270000000000003
2010-04-12,1.0,23.05,25.5,21.44,18.880000000000003
2010-04-19,0.0,22.54,25.610000000000003,20.53,20.21
2010-04-26,0.0,23.660000000000004,27.630000000000003,20.5,22.97
2010-05-03,0.0,24.28,27.4,21.130000000000003,20.72
2010-05-10,0.0,27.26,30.56,24.59,22.32
2010-05-17,0.0,28.08,31.4,25.08,23.64
2010-05-24,0.0,29.44,34.25,25.28,23.97
2010-05-31,0.0,28.590000000000003,32.870000000000005,25.04,18.77
2010-06-07,2.0,28.160000000000004,31.910000000000004,23.84,23.12
2010-06-14,3.0,29.66,34.15,25.36,21.610000000000003
2010-06-21,5.0,31.58,36.24,26.15,18.34
2010-06-28,3.0,30.59,34.59,26.380000000000003,21.52
2010-07-05,8.0,31.04,35.54,26.18,22.99
2010-07-12,14.0,32.459999999999994,37.53,25.72,23.65
2010-07-19,14.0,29.83,33.94,25.45,25.36
2010-07-26,26.0,28.73,32.010000000000005,25.56,22.12
2010-08-02,8.0,29.42,33.14,26.0,18.95
2010-08-09,8.0,29.24,33.42,25.6,19.630000000000003
2010-08-16,8.0,28.790000000000003,32.67,25.77,17.65
2010-08-23,8.0,28.41,32.260000000000005,25.640000000000004,22.04
2010-08-30,8.0,26.93,30.74,24.76,21.47
2010-09-06,25.0,28.79,32.53,25.11,14.26
2010-09-13,22.0,28.860000000000003,32.72,25.410000000000004,17.41
2010-09-20,19.0,27.93,31.790000000000003,24.71,16.3
2010-09-27,12.0,27.83,31.8,24.49,18.7
2010-10-04,5.0,27.68,31.390000000000004,23.45,20.53
2010-10-11,4.0,27.43,30.8,20.73,19.09
2010-10-18,5.0,26.559999999999995,29.97,23.24,19.82
2010-10-25,4.0,24.85,28.43,20.19,16.12
2010-11-01,1.0,22.21,26.170000000000005,15.579999999999998,16.330000000000002
2010-11-08,1.0,21.1,27.32,13.61,15.0
2010-11-15,4.0,22.64,28.22,15.95,12.6
2010-11-22,2.0,22.49,25.93,17.43,16.330000000000002
