name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
thailand,2015-01-01,28.6,20.2,24.2,28.6,20.2,24.2,14.7,56.3,0,0,0,,0,0,31.7,15.3,57,1015.1,29.5,9.4,236.4,20.3,8,,2015-01-01T06:41:26,2015-01-01T18:01:10,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-02,28.5,19.2,23.7,28.1,19.2,23.6,13.5,53.7,0,0,0,,0,0,25.9,14.9,67.3,1015.9,33.8,9.8,213.4,18.4,7,,2015-01-02T06:41:49,2015-01-02T18:01:44,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-03,30.5,19,24.7,30.9,19,24.8,15.7,58.7,0,0,0,,0,0,22.3,12.5,358.4,1014.6,28.9,9.1,239.6,20.7,8,,2015-01-03T06:42:11,2015-01-03T18:02:19,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-04,32.1,20.2,26.1,33.6,20.2,26.5,17,58.6,0,0,0,,0,0,21.2,12.9,343.5,1011.8,18.6,8.3,237.8,20.5,8,,2015-01-04T06:42:32,2015-01-04T18:02:53,0.46,Clear,Clear conditions throughout the day.,clear-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-05,32.3,21.7,27,34.1,21.7,27.7,19.2,63.9,0,0,0,,0,0,19.1,10.3,120.6,1010.3,30.6,7.6,170.9,14.9,6,,2015-01-05T06:42:52,2015-01-05T18:03:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-06,33.8,22.5,27.8,35.8,22.5,29,20.7,67.6,0,0,0,,0,0,16.2,14.3,171,1009.9,33.4,8.4,238.2,20.4,8,,2015-01-06T06:43:11,2015-01-06T18:04:02,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-07,33.7,24.5,28.9,37.5,24.5,31,21.7,66.4,0,0,0,,0,0,23.8,11.2,191.5,1010.2,54.4,8.9,190.6,16.5,7,,2015-01-07T06:43:29,2015-01-07T18:04:36,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-08,29.5,25.2,26.8,32.9,25.2,28.1,22.2,76.2,1.074,100,12.5,rain,0,0,38.2,21.3,66.9,1012.4,88,9.3,140.2,12.1,6,,2015-01-08T06:43:46,2015-01-08T18:05:11,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,remote,48459099999,48420099999"
thailand,2015-01-09,31.6,23.2,27.2,33.6,23.2,28.2,20.1,66.5,0,0,0,,0,0,31.7,24.1,92.7,1013.2,81,9.7,187.5,16,7,,2015-01-09T06:44:03,2015-01-09T18:05:46,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-10,29,23.2,26.6,32,23.2,27.5,21,71.9,0.216,100,8.33,rain,0,0,29.5,17.5,3.9,1012.5,88,8.8,217.8,18.8,8,,2015-01-10T06:44:18,2015-01-10T18:06:20,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-11,27.8,22,24,28.8,22,24,18,70,0,0,0,,0,0,34.9,28.2,335.4,1013.1,90.4,9,209,18,8,,2015-01-11T06:44:32,2015-01-11T18:06:54,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-12,26.2,21,23.3,26.2,21,23.3,16,64.2,0,0,0,,0,0,32,23.2,352.3,1014.4,86.1,9.3,190.8,16.5,7,,2015-01-12T06:44:45,2015-01-12T18:07:29,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-13,28.8,21.2,24.3,28.8,21.2,24.3,14.9,56.5,0,0,0,,0,0,31.3,15.6,18.5,1014.8,75.5,9.5,200.2,17.1,8,,2015-01-13T06:44:58,2015-01-13T18:08:03,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2015-01-14,28.9,19,24,28.4,19,23.9,12.7,50.8,0,0,0,,0,0,26.3,15.2,4,1015.3,37.7,9.6,224,19.4,8,,2015-01-14T06:45:09,2015-01-14T18:08:37,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
