name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
thailand,2009-01-01,28.8,23.1,26.2,28.9,23.1,26.3,17.1,57.8,0.0,0,0.0,,,,,19.2,73.6,1012.2,79.0,10.6,,,,,2009-01-01T06:41:37,2009-01-01T18:01:26,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48453099999,48456099999,48454099999,48459099999,48420099999,48460099999"
thailand,2009-01-02,29.0,22.1,25.3,29.1,22.1,25.4,15.9,56.4,0.0,0,0.0,,,,,18.4,24.0,1013.9,85.2,10.6,,,,,2009-01-02T06:41:59,2009-01-02T18:02:00,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48453099999,48456099999,48454099999,48459099999,48419099999,48420099999,48460099999"
thailand,2009-01-03,29.8,20.1,24.7,30.3,20.1,24.8,15.8,58.3,0.0,0,0.0,,,,,19.5,3.3,1013.6,53.8,10.1,,,,,2009-01-03T06:42:21,2009-01-03T18:02:34,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48453099999,48456099999,48454099999,48459099999,48419099999,48420099999,48460099999"
thailand,2009-01-04,30.5,21.1,25.5,31.1,21.1,25.7,17.2,61.2,0.0,0,0.0,,,,,15.8,336.1,1012.5,33.1,9.5,,,,,2009-01-04T06:42:41,2009-01-04T18:03:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48453099999,48456099999,48454099999,48459099999,48419099999,48420099999,48460099999"
thailand,2009-01-05,32.0,21.1,26.6,32.3,21.1,26.9,17.8,60.4,0.0,0,0.0,,,,,11.5,14.0,1011.2,35.3,9.5,,,,,2009-01-05T06:43:01,2009-01-05T18:03:43,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48453099999,48456099999,48454099999,48459099999,48419099999,48420099999,48460099999"
thailand,2009-01-06,32.0,22.1,26.6,31.5,22.1,26.5,16.3,55.3,0.0,0,0.0,,,,,13.1,12.4,1012.0,58.0,9.7,,,,,2009-01-06T06:43:20,2009-01-06T18:04:17,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48453099999,48456099999,48454099999,48459099999,48419099999,48420099999,48460099999"
thailand,2009-01-07,32.0,21.9,26.6,32.2,21.9,26.5,15.9,53.5,0.0,0,0.0,,,,,14.6,357.0,1013.4,52.1,10.2,,,,,2009-01-07T06:43:37,2009-01-07T18:04:52,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48453099999,48456099999,48454099999,48459099999,48419099999,48420099999,48460099999"
thailand,2009-01-08,31.0,21.1,26.5,31.5,21.1,26.7,17.0,57.2,0.0,0,0.0,,,,,15.1,38.9,1014.9,55.3,10.4,,,,,2009-01-08T06:43:54,2009-01-08T18:05:27,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48453099999,48456099999,48454099999,48459099999,48419099999,48420099999,48460099999"
thailand,2009-01-09,28.8,20.2,24.5,28.7,20.2,24.6,15.2,57.2,0.0,0,0.0,,,,,15.1,63.7,1016.6,65.6,9.5,,,,,2009-01-09T06:44:10,2009-01-09T18:06:01,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48453099999,48456099999,48454099999,48459099999,48419099999,48420099999,48460099999"
thailand,2009-01-10,26.0,17.1,21.4,26.0,17.1,21.4,11.0,52.7,0.0,0,0.0,,,,,17.1,54.5,1017.4,21.9,8.6,,,,,2009-01-10T06:44:25,2009-01-10T18:06:36,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48453099999,48456099999,48454099999,48459099999,48419099999,48420099999,48460099999"
