Day,Influenza B - All types of surveillance
2009-01-05,10.0
2009-01-12,0.0
2009-01-19,0.0
2009-01-26,4.0
2009-02-02,6.0
2009-02-09,2.0
2009-02-16,2.0
2009-02-23,5.0
2009-03-02,9.0
2009-03-09,15.0
2009-03-16,16.0
2009-03-23,19.0
2009-03-30,13.0
2009-04-06,15.0
2009-04-13,7.0
2009-04-20,13.0
2009-04-27,16.0
2009-05-04,20.0
2009-05-11,12.0
2009-05-18,13.0
2009-05-25,6.0
2009-06-01,16.0
2009-06-08,9.0
2009-06-15,10.0
2009-06-22,16.0
2009-06-29,21.0
2009-07-06,7.0
2009-07-13,14.0
2009-07-20,12.0
2009-07-27,5.0
2009-08-03,11.0
2009-08-10,17.0
2009-08-17,5.0
2009-08-24,6.0
2009-08-31,4.0
2009-09-07,3.0
2009-09-14,3.0
2009-09-21,2.0
2009-09-28,1.0
2009-10-05,1.0
2009-10-12,5.0
2009-10-19,4.0
2009-10-26,8.0
2009-11-02,2.0
2009-11-09,2.0
2009-11-16,4.0
2009-11-23,4.0
2009-11-30,4.0
2009-12-07,13.0
2009-12-14,8.0
2009-12-21,14.0
2009-12-28,0.0
2010-01-04,10.0
2010-01-11,2.0
2010-01-18,8.0
2010-01-25,5.0
2010-02-01,7.0
2010-02-08,0.0
2010-02-15,0.0
2010-02-22,4.0
2010-03-01,6.0
2010-03-08,7.0
2010-03-15,13.0
2010-03-22,18.0
2010-03-29,3.0
2010-04-05,3.0
2010-04-12,4.0
2010-04-19,2.0
2010-04-26,1.0
2010-05-03,2.0
2010-05-10,4.0
2010-05-17,4.0
2010-05-24,4.0
2010-05-31,6.0
2010-06-07,2.0
2010-06-14,13.0
2010-06-21,15.0
2010-06-28,12.0
2010-07-05,13.0
2010-07-12,8.0
2010-07-19,13.0
2010-07-26,11.0
2010-08-02,10.0
2010-08-09,6.0
2010-08-16,3.0
2010-08-23,3.0
2010-08-30,5.0
2010-09-06,11.0
2010-09-13,11.0
2010-09-20,7.0
2010-09-27,18.0
2010-10-04,17.0
2010-10-11,12.0
2010-10-18,16.0
2010-10-25,17.0
2010-11-01,17.0
2010-11-08,19.0
2010-11-15,24.0
2010-11-22,36.0
2010-11-29,15.0
2010-12-06,20.0
2010-12-13,7.0
2010-12-20,6.0
2010-12-27,9.0
2011-01-03,9.0
2011-01-10,9.0
2011-01-17,12.0
2011-01-24,5.0
